FOLIO,ENT,FAC_ELE,EST_DIS,UPM_DIS,PB1_01,PB1_02,PB2_1,PB2_2,PC3_1,PC3_2,PC3_3,PC3_4,PC3_5,PC3_6,PC3_7,PC3_8,PG1_2,PG1_3,PG1_4,PG1_5,PG1_6,PG1_7,PG1_8,PG2,PG3_1,PG3_2,PG3_3,PG3_4
00001,01,1458,002,0000001,10,10,1,0,1,1,3,2,5,5,1,3,0,0,0,0,0,0,0,7,0,0,1,1
00002,01,353,002,0000001,3,5,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00003,01,353,002,0000001,1,9,1,1,1,1,3,4,2,5,1,3,0,0,0,0,0,0,0,6,0,0,0,0
00004,01,657,002,0000002,5,5,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0
00005,01,985,002,0000002,8,8,1,0,1,1,1,1,1,5,1,3,0,0,0,0,0,0,0,2,1,0,0,0
00006,01,657,002,0000002,5,8,0,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0
00007,01,1018,002,0000002,8,9,1,1,2,1,2,4,2,4,1,5,0,0,0,0,0,0,0,7,1,0,0,1
00008,01,905,003,0000003,5,10,1,1,1,1,2,2,4,5,3,5,0,0,0,0,0,0,0,3,1,0,0,0
00009,01,876,003,0000003,8,10,1,0,1,2,1,4,1,4,4,1,0,0,0,0,0,0,0,3,1,0,0,0
00010,01,1314,003,0000003,8,6,1,0,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,4,0,0,0,0
00011,01,876,003,0000003,0,6,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00012,01,452,003,0000003,7,9,1,1,1,1,1,1,2,4,1,3,0,0,0,0,0,0,0,7,1,0,0,0
00013,01,647,001,0000004,0,3,1,1,3,2,2,5,5,5,4,2,0,0,0,0,0,0,0,7,1,0,0,0
00014,01,627,001,0000004,5,6,1,1,1,1,1,1,3,5,1,3,0,0,0,0,0,0,0,3,1,1,0,0
00015,01,647,001,0000004,2,9,1,1,3,1,3,4,5,5,4,3,0,0,0,0,0,0,0,4,1,1,0,1
00016,01,1295,001,0000004,6,8,1,0,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00017,01,344,001,0000005,6,8,0,1,1,3,1,1,1,3,1,2,0,0,0,0,0,0,0,1,1,0,0,0
00018,01,1033,001,0000005,10,10,1,1,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,4,1,0,0,0
00019,01,688,001,0000005,8,9,1,1,2,3,1,1,4,4,1,1,0,1,0,0,0,1,0,7,1,1,0,0
00020,01,1011,001,0000006,8,10,1,0,1,1,1,1,1,5,3,1,0,0,0,0,0,0,0,2,0,0,0,0
00021,01,674,001,0000006,6,8,1,0,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,4,0,0,0,0
00022,01,1044,001,0000006,6,10,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00023,01,696,001,0000006,8,9,1,1,2,2,1,1,3,4,3,3,0,0,0,0,0,0,0,6,1,0,0,1
00024,01,1051,002,0000007,6,10,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00025,01,1086,002,0000007,8,10,1,1,1,1,5,2,4,5,1,5,0,0,0,0,0,0,0,3,1,0,0,0
00026,01,2453,002,0000007,5,7,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,0,0,1
00027,01,609,001,0000008,0,8,1,1,2,1,1,2,3,1,1,2,0,0,0,0,0,0,0,7,0,0,0,0
00028,01,913,001,0000008,5,9,1,1,3,4,5,4,3,5,3,1,0,0,0,0,0,0,0,2,1,0,0,0
00029,01,590,001,0000008,2,8,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0
00030,01,618,001,0000009,1,3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
00031,01,299,001,0000009,5,9,0,0,1,1,1,1,1,3,1,2,0,0,0,0,0,0,0,5,1,0,0,0
00032,01,897,001,0000009,1,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,6,1,0,0,0
00033,01,618,001,0000009,7,8,1,1,1,2,1,3,4,4,3,2,0,0,0,0,0,0,0,2,0,0,0,0
00034,01,692,002,0000010,2,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
00035,01,346,002,0000010,9,10,1,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0
00036,01,1730,002,0000010,7,8,1,0,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,7,1,1,0,0
00037,01,335,002,0000010,5,9,1,1,2,1,1,4,1,1,1,4,0,0,0,0,0,0,0,7,0,0,0,0
00038,01,1384,002,0000010,10,10,1,1,1,3,1,1,2,3,1,3,0,0,0,1,0,0,0,1,1,0,0,0
00039,01,931,002,0000011,5,7,0,0,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,7,0,0,0,0
00040,01,1241,002,0000011,4,6,1,1,5,2,1,1,2,3,2,2,0,0,0,0,0,0,0,3,1,1,0,0
00041,01,931,002,0000011,7,7,1,0,2,1,1,1,2,4,1,1,0,0,0,0,0,1,0,7,1,0,0,0
00042,01,300,002,0000011,8,9,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
00043,01,901,002,0000011,0,7,1,0,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0
00044,01,587,002,0000012,3,6,1,1,3,1,1,2,1,5,1,2,0,0,0,0,0,0,0,1,1,0,0,0
00045,01,880,002,0000012,6,7,1,0,2,4,3,3,2,3,2,2,0,0,0,0,0,0,0,3,1,1,0,1
00046,01,1137,002,0000012,8,9,1,1,1,2,3,1,5,5,3,3,0,0,0,0,0,1,0,7,1,1,0,1
00047,01,284,002,0000012,6,7,1,1,1,1,3,2,3,4,4,3,0,0,0,0,0,0,0,2,1,0,0,0
00048,01,801,002,0000013,8,7,1,1,1,1,1,1,1,3,1,2,0,0,0,0,0,0,0,4,1,0,0,0
00049,01,2482,002,0000013,8,10,1,1,1,5,1,1,1,5,1,4,0,0,0,0,0,0,0,6,1,0,0,0
00050,01,801,002,0000013,6,4,1,1,5,1,1,3,1,2,1,5,0,0,0,0,0,0,0,7,1,0,0,0
00051,01,676,002,0000014,0,5,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00052,01,698,002,0000014,5,9,1,1,2,1,2,2,3,4,1,2,0,0,0,0,0,0,0,5,1,1,0,1
00053,01,1351,002,0000014,9,10,1,1,1,1,5,2,1,3,1,5,0,0,0,0,0,0,0,3,1,1,0,1
00054,01,698,002,0000014,5,8,1,1,1,4,1,1,1,4,1,4,0,0,0,1,0,0,0,5,0,0,0,0
00055,01,1476,002,0000015,4,7,1,1,1,3,2,4,2,4,3,2,0,0,0,0,1,0,0,7,1,0,0,0
00056,01,714,002,0000015,8,10,1,1,1,1,1,2,1,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00057,01,738,002,0000015,5,8,1,0,4,3,3,4,5,5,1,3,0,0,0,0,1,0,0,7,1,1,1,0
00058,01,2951,002,0000015,8,10,1,1,1,1,3,3,5,5,3,3,0,0,0,0,0,1,0,7,1,1,0,0
00059,01,714,002,0000015,5,8,1,1,1,1,1,1,3,4,4,4,1,0,0,0,0,0,0,4,0,0,0,0
00060,01,332,002,0000016,8,8,1,1,1,1,1,1,1,3,2,1,0,0,0,0,0,0,0,7,1,1,0,1
00061,01,1372,002,0000016,8,10,1,1,1,5,5,5,5,5,5,3,0,0,0,0,0,0,0,7,1,1,1,1
00062,01,664,002,0000016,9,10,1,1,1,5,3,1,3,3,1,3,0,0,0,0,0,1,0,4,1,1,0,1
00063,01,485,002,0000017,7,7,1,0,1,1,4,4,1,3,4,3,0,0,0,0,0,0,0,6,0,0,0,0
00064,01,704,002,0000017,5,9,1,1,1,1,1,1,2,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0
00065,01,242,002,0000017,9,9,1,0,5,5,3,5,5,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00066,01,772,002,0000018,7,9,1,1,1,1,2,3,1,2,2,1,1,0,0,0,0,0,0,7,1,0,0,0
00067,01,772,002,0000018,7,9,1,1,1,1,3,1,5,5,2,2,0,0,0,0,0,0,0,3,1,0,0,0
00068,01,399,002,0000018,0,10,1,1,2,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00069,01,772,002,0000018,10,10,1,1,2,1,1,1,1,4,1,1,0,0,0,0,0,0,0,3,1,1,0,0
00070,01,434,003,0000019,8,9,1,1,1,1,1,1,3,4,1,2,0,0,0,0,0,0,0,2,1,0,0,0
00071,01,1344,003,0000019,6,8,1,1,2,2,2,2,4,4,4,3,1,0,0,0,0,1,0,6,0,1,0,0
00072,01,868,003,0000019,9,10,1,1,1,1,2,1,2,3,1,1,0,0,0,0,0,1,0,4,0,0,1,0
00073,01,998,002,0000020,8,9,1,0,2,2,3,4,4,5,3,3,0,0,0,0,0,1,0,3,0,0,0,0
00074,01,1611,002,0000020,5,8,1,0,3,4,1,5,2,3,3,1,0,0,0,0,0,0,0,7,0,0,0,0
00075,01,644,002,0000020,9,10,1,1,4,3,1,1,1,3,3,1,0,0,0,0,0,0,0,7,1,1,0,0
00076,01,644,002,0000020,3,8,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00077,01,1023,002,0000021,7,7,1,1,4,1,3,1,3,4,1,2,0,0,0,0,0,0,0,7,0,0,0,0
00078,01,369,002,0000022,6,8,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00079,01,738,002,0000022,8,9,1,1,1,1,1,3,4,4,4,3,0,0,0,0,0,0,0,7,1,1,0,1
00080,01,738,002,0000022,5,3,1,1,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00081,01,855,002,0000023,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00082,01,414,002,0000023,6,9,1,1,1,1,1,1,1,3,3,3,0,0,0,0,0,0,0,7,0,0,0,0
00083,01,1709,002,0000023,9,8,1,1,2,2,4,4,4,4,3,3,0,0,0,0,0,0,0,7,0,1,0,0
00084,01,2318,002,0000024,6,10,1,1,2,2,1,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0
00085,01,1546,002,0000024,10,10,1,1,1,1,5,5,5,5,1,1,0,0,0,0,0,1,0,7,0,0,0,0
00086,01,399,002,0000024,7,4,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,7,0,0,0,0
00087,01,399,002,0000024,5,5,1,0,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0
00088,01,391,002,0000025,3,6,1,0,1,1,1,1,3,4,2,1,0,0,0,0,0,0,0,7,1,0,0,0
00089,01,1613,002,0000025,7,10,1,1,3,1,1,3,4,4,5,5,0,0,0,0,1,0,0,7,1,0,0,0
00090,01,781,002,0000025,5,3,1,0,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00091,01,391,002,0000025,5,5,1,1,3,3,1,1,1,5,1,1,1,0,0,0,0,0,0,7,1,1,0,0
00092,01,1172,002,0000025,5,8,1,1,3,2,2,1,2,5,3,2,0,0,0,0,0,0,0,7,0,0,0,0
00093,01,754,002,0000026,6,7,1,1,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00094,01,1509,002,0000026,10,10,1,1,3,1,3,2,1,4,3,3,0,0,0,0,0,0,0,4,0,0,0,0
00095,01,779,002,0000026,6,8,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00096,01,390,002,0000026,4,10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00097,01,754,002,0000026,8,9,1,1,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,5,0,0,0,0
00098,01,377,002,0000027,6,6,1,1,1,1,1,1,3,2,1,3,0,0,0,0,0,0,0,7,0,1,0,0
00099,01,1130,002,0000027,5,10,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00100,01,365,002,0000027,6,10,1,1,1,1,2,1,3,4,2,3,0,0,0,0,0,0,0,3,1,0,1,1
00101,01,1095,002,0000027,5,7,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,0,0,0
00102,01,1140,002,0000028,8,10,1,1,1,4,1,1,1,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00103,01,1569,002,0000028,7,9,1,1,1,4,2,4,5,5,2,4,0,0,0,0,1,0,0,7,1,0,0,0
00104,01,760,002,0000028,5,7,1,1,1,1,3,1,3,4,3,3,0,0,0,0,0,0,0,3,0,0,0,0
00105,01,1140,002,0000028,10,10,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00106,01,785,002,0000028,8,10,1,1,4,1,2,1,3,5,1,3,0,0,0,0,0,0,0,1,0,0,0,0
00107,01,704,002,0000029,5,5,1,1,3,3,1,2,5,4,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00108,01,1408,002,0000029,9,8,0,0,1,1,2,1,4,4,5,2,0,0,0,0,0,0,0,7,1,0,0,1
00109,01,704,002,0000029,5,6,1,1,3,1,5,3,4,2,1,3,0,0,0,0,0,0,0,7,0,0,0,1
00110,01,714,003,0000030,7,9,1,1,3,3,2,1,2,5,5,5,0,0,0,0,0,0,0,7,1,0,0,0
00111,01,714,003,0000030,8,10,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,6,0,0,0,0
00112,01,357,003,0000030,9,9,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0
00113,01,714,003,0000030,7,7,1,1,1,1,1,1,2,4,3,2,1,0,0,0,1,0,0,7,1,0,0,0
00114,01,377,002,0000031,0,0,1,0,1,1,1,3,2,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00115,01,1132,002,0000031,8,10,0,0,2,1,1,3,4,5,2,1,0,0,0,0,1,0,0,7,1,0,0,0
00116,01,730,002,0000031,6,7,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
00117,01,730,002,0000031,1,10,1,1,1,1,5,1,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0
00118,01,730,002,0000031,5,8,1,1,1,1,2,1,2,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0
00119,01,734,001,0000032,7,10,1,1,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00119,01,734,001,0000032,5,7,1,0,1,1,1,2,2,5,2,1,0,0,0,0,0,0,0,7,0,0,0,0
00120,01,367,001,0000032,7,10,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
00121,01,1467,001,0000032,5,8,1,1,1,1,1,2,2,2,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00122,01,734,001,0000032,0,8,1,0,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00123,01,1474,002,0000033,3,3,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,6,1,0,0,0
00124,01,381,002,0000033,7,9,1,1,2,1,1,3,4,4,3,2,0,0,0,0,0,0,0,4,1,0,0,0
00125,01,737,002,0000033,0,6,1,1,1,1,1,1,1,4,2,1,0,0,0,0,0,0,0,5,1,1,0,0
00126,01,761,002,0000033,2,7,1,0,3,4,2,1,3,4,1,1,0,0,0,0,0,0,0,7,1,0,0,1
00127,01,768,002,0000034,5,8,1,1,2,4,2,5,5,3,2,4,0,0,0,0,0,0,0,7,1,1,1,0
00128,01,1115,002,0000034,6,7,1,1,1,1,4,2,4,4,1,3,0,0,0,0,0,0,0,5,1,1,0,1
00129,01,372,002,0000034,10,10,1,1,3,2,2,2,5,5,1,4,1,0,0,0,0,1,0,7,1,0,0,1
00130,01,743,002,0000034,7,8,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00131,01,665,001,0000035,8,10,1,1,3,2,1,5,4,5,2,3,0,0,0,0,1,0,0,4,0,0,0,0
00132,01,2992,001,0000035,8,8,1,1,2,2,2,3,4,4,4,4,1,0,0,0,0,0,0,6,1,0,0,0
00133,01,644,001,0000035,8,9,1,1,1,3,1,1,1,1,3,1,0,0,0,0,0,0,0,2,1,0,0,0
00134,01,966,001,0000035,5,9,1,1,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0
00135,01,665,001,0000035,0,0,1,1,1,1,1,1,1,5,5,1,0,0,0,0,0,0,0,6,0,0,0,0
00136,01,1070,002,0000036,5,5,1,1,1,2,2,4,2,4,1,3,0,0,0,0,1,0,0,7,1,0,0,1
00137,01,357,002,0000036,8,10,1,1,2,1,5,5,4,3,1,2,0,0,0,0,1,0,0,7,1,0,0,1
00138,01,690,002,0000036,4,6,1,1,1,1,1,1,1,4,1,4,0,0,0,0,0,0,0,7,1,1,0,0
00139,01,759,002,0000037,6,8,1,0,1,1,1,1,1,4,1,1,0,0,0,0,0,1,0,7,1,0,0,0
00140,01,759,002,0000037,3,7,1,1,1,1,2,1,4,5,2,3,0,0,0,0,0,0,0,7,1,0,0,0
00141,01,1176,002,0000037,7,7,1,1,2,2,2,2,3,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00142,01,379,002,0000037,6,7,0,0,1,1,1,1,3,3,2,2,0,0,0,0,0,0,0,6,1,1,1,1
00143,01,858,002,0000038,6,7,1,1,2,2,3,3,3,4,4,4,0,0,0,0,1,0,0,7,1,0,0,0
00144,01,416,002,0000038,7,7,1,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,6,0,0,0,0
00145,01,1662,002,0000038,8,10,1,1,2,1,2,1,1,3,2,2,0,0,0,0,0,0,0,7,0,0,0,1
00146,01,1541,002,0000039,2,10,1,1,2,2,1,1,2,3,1,1,0,0,0,0,0,0,0,7,1,1,0,1
00147,01,1989,002,0000039,7,8,1,1,1,1,2,1,2,4,1,2,0,0,0,0,0,0,0,2,0,0,0,0
00148,01,770,002,0000039,9,10,1,1,2,3,1,1,3,4,2,2,0,0,0,0,0,0,0,6,1,0,0,0
00149,01,770,002,0000039,8,8,1,1,1,5,3,2,2,4,4,4,0,0,0,1,0,1,0,2,1,0,0,1
00150,01,1710,002,0000040,8,10,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,5,1,0,0,1
00151,01,2137,002,0000040,9,10,1,1,3,2,1,1,4,3,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00152,01,855,002,0000040,3,7,1,1,1,1,1,1,2,3,1,1,0,0,0,0,0,0,0,6,1,0,0,0
00153,01,1282,002,0000040,2,5,1,1,1,1,1,2,2,4,2,3,0,0,0,0,1,0,0,7,1,0,0,1
00154,01,1282,002,0000040,6,6,1,1,2,2,1,1,3,4,1,1,0,0,0,0,0,0,0,7,1,0,0,1
00155,01,729,002,0000041,6,7,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0
00156,01,376,002,0000041,5,5,1,0,2,1,1,1,3,2,2,1,0,0,0,0,0,0,0,3,0,0,0,0
00157,01,753,002,0000041,6,10,1,1,2,5,3,2,5,5,1,3,0,0,0,0,0,0,0,7,1,0,0,1
00158,01,1129,002,0000041,9,9,1,1,4,4,3,4,3,4,4,3,0,0,0,0,0,0,0,7,1,1,1,1
00159,01,729,002,0000041,1,10,1,1,1,1,1,1,2,2,2,2,1,0,0,0,0,0,0,3,1,0,0,0
00160,01,1053,002,0000042,7,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,6,1,0,0,1
00161,01,340,002,0000042,9,7,1,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,4,0,0,0,0
00162,01,1360,002,0000042,9,10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00163,01,326,001,0000043,3,5,0,0,1,1,1,1,4,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00164,01,1346,001,0000043,4,8,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0
00165,01,1303,001,0000043,8,10,1,1,1,2,1,1,1,4,1,1,0,0,0,0,0,0,0,6,0,0,0,0
00166,01,1009,001,0000043,7,9,1,1,3,2,2,1,5,4,2,3,0,0,0,0,0,0,0,7,1,0,0,0
00167,01,1567,003,0000044,8,8,1,0,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,4,1,1,0,1
00168,01,1619,003,0000044,6,6,1,0,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,1,1,0,0,1
00169,01,1619,003,0000044,8,10,1,1,1,1,1,1,1,5,1,1,0,0,1,0,0,0,0,4,0,1,0,1
00170,01,759,003,0000045,8,10,1,1,1,2,3,3,2,4,2,2,0,0,0,0,0,0,0,7,1,1,1,1
00171,01,759,003,0000045,9,9,1,1,1,1,1,1,1,4,4,3,0,0,0,0,0,0,0,5,1,1,1,1
00172,01,759,003,0000045,8,8,1,1,1,1,5,1,2,5,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00173,01,1176,003,0000045,9,9,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,7,0,1,0,1
00174,01,380,003,0000045,8,8,1,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,0,7,0,0,0,0
00175,01,1849,002,0000046,9,10,1,1,1,3,3,1,4,5,3,4,0,0,0,0,0,0,0,5,0,1,0,0
00176,01,1146,002,0000046,3,8,1,0,1,5,2,3,3,5,3,2,0,0,1,1,0,0,0,7,1,1,1,1
00177,01,1909,002,0000046,7,9,1,1,2,2,2,1,4,3,2,2,0,0,0,0,0,0,0,7,0,0,0,0
00178,01,382,002,0000046,0,6,1,0,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0
00179,01,404,002,0000047,8,8,1,1,1,1,5,5,4,5,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00180,01,808,002,0000047,5,9,1,1,1,1,5,1,1,5,1,3,0,0,0,0,0,0,0,1,1,1,0,0
00181,01,782,002,0000047,9,10,1,1,1,1,2,1,5,4,1,5,0,0,0,1,0,0,0,3,1,1,0,0
00182,01,1007,002,0000048,6,8,1,0,1,1,1,1,2,5,3,3,0,0,0,0,0,0,0,7,1,1,0,0
00183,01,672,002,0000048,9,9,1,1,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,2,1,0,0,0
00184,01,1387,002,0000048,7,8,1,1,3,4,3,3,3,4,4,3,1,1,0,0,0,1,0,1,0,1,0,0
00185,01,743,003,0000049,3,8,1,0,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,3,1,0,0,0
00186,01,768,003,0000049,1,10,1,0,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00187,01,743,003,0000049,5,10,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00188,01,384,003,0000049,8,10,1,1,1,1,3,2,3,3,2,2,0,0,0,0,0,0,0,1,1,0,0,0
00189,01,734,002,0000050,8,8,1,0,1,1,1,1,3,3,1,1,0,0,0,0,0,0,0,6,1,0,0,0
00190,01,1101,002,0000050,10,8,1,1,1,5,1,5,1,5,5,5,0,0,0,1,0,0,0,4,1,1,1,1
00191,01,367,002,0000050,6,8,1,0,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00192,01,1101,002,0000050,3,5,1,0,1,1,3,1,2,5,1,4,0,0,0,0,0,0,0,1,0,0,0,0
00193,01,552,001,0000051,6,9,1,0,1,1,1,1,1,5,2,3,0,0,0,0,0,0,0,1,0,0,0,0
00194,01,552,001,0000051,7,9,1,1,4,1,5,1,1,1,1,5,0,0,0,0,0,0,0,7,0,0,0,0
00195,01,570,001,0000051,8,9,1,1,2,3,3,3,3,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0
00196,01,285,001,0000051,6,6,1,1,1,1,3,3,2,3,1,4,0,0,0,0,0,0,0,7,0,0,0,0
00197,01,384,001,0000052,7,9,1,0,1,1,1,1,3,4,1,3,0,0,0,0,0,0,0,7,0,0,0,0
00198,01,1921,001,0000052,10,10,1,1,1,1,1,1,1,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0
00199,01,1537,001,0000052,7,7,1,1,2,1,4,3,5,5,5,3,0,0,0,0,0,0,0,3,0,0,0,0
00200,01,744,001,0000052,3,10,1,1,2,2,2,4,2,5,2,2,0,0,0,0,0,0,0,7,1,0,0,0
00201,01,744,001,0000052,6,9,1,1,2,1,2,1,2,4,4,4,0,0,0,0,0,0,0,7,0,0,0,0
00202,01,389,002,0000053,6,10,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0
00203,01,778,002,0000053,0,10,1,0,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,5,1,0,0,0
00204,01,1168,002,0000053,6,10,1,1,1,1,1,1,3,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00205,01,778,002,0000053,6,9,1,1,2,3,1,3,4,5,3,3,0,0,0,0,0,0,0,7,1,0,0,0
00206,01,778,002,0000053,3,5,0,1,1,1,1,1,3,3,1,1,1,0,0,0,0,0,0,7,1,0,0,0
00207,01,1134,002,0000054,8,9,1,0,4,4,4,4,4,5,5,5,0,0,0,0,0,0,0,6,0,0,0,0
00208,01,781,002,0000054,6,6,1,0,2,1,1,4,5,5,1,2,0,0,0,0,0,0,0,7,0,0,0,0
00209,01,378,002,0000054,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
00210,01,1511,002,0000054,8,10,1,1,2,2,3,1,3,3,1,2,0,0,0,0,0,0,0,7,1,0,0,0
00211,01,725,002,0000055,3,9,1,0,1,1,1,1,1,4,1,2,0,0,0,0,0,0,0,7,0,0,0,0
00212,01,702,002,0000055,8,9,1,1,2,1,1,1,1,5,2,2,0,0,0,0,0,0,0,7,1,0,1,1
00213,01,1404,002,0000055,8,8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0
00214,01,1404,002,0000055,9,9,1,1,1,1,1,1,1,5,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00215,01,381,001,0000056,5,8,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00216,01,984,001,0000056,6,6,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00217,01,394,001,0000056,10,10,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00218,01,394,001,0000056,10,10,1,1,2,1,1,1,1,5,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00219,01,572,001,0000056,8,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0
00219,01,572,001,0000056,8,9,1,0,2,2,2,1,1,3,1,1,0,0,0,0,0,0,0,4,0,0,0,0
00220,01,1176,001,0000057,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,5,1,0,1,0
00221,01,2429,001,0000057,3,3,1,1,1,1,1,2,2,3,1,2,0,0,0,0,0,0,0,1,1,1,0,0
00222,01,1620,001,0000057,5,10,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,7,1,0,0,0
00223,01,1176,001,0000057,5,8,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,7,0,0,0,0
